Mes,Ano,Data,Cambio (R$ / U$$),IPCA_BASE_FIXA (1993 = 100),IPCA_MES (% a.m.),ProdIndustrial,Selic_OVER (% a.a.),Base_monetaria(M1) (R$ Bln),CPI US (% a.m.),FED INTEREST RATE (% a.a.),Produção industrial US,Base_monetaria(M1) (U$$ Bln)
1,1999,01/01/1999,"1,50","1468,41","0,7",,"29,54%","39,11","0,18%","4,63%","87,6357","1.098,10"
2,1999,01/02/1999,"1,91","1483,83","1,05",,"32,61%","39,18","0,00%","4,76%","88,1298","1.096,70"
3,1999,01/03/1999,"1,90","1500,15","1,1",,"48,16%","37,62","0,06%","4,81%","88,2987","1.096,60"
4,1999,01/04/1999,"1,69","1508,55","0,56",,"32,15%","36,46","0,67%","4,74%","88,4947","1.101,60"
5,1999,01/05/1999,"1,68","1513,08","0,3",,"27,12%","35,51","0,06%","4,74%","89,0447","1.103,80"
6,1999,01/06/1999,"1,77","1515,95","0,19",,"21,99%","36,54","0,00%","4,76%","88,9802","1.099,80"
7,1999,01/07/1999,"1,80","1532,47","1,09",,"21,84%","39,05","0,42%","4,99%","89,5155","1.099,10"
8,1999,01/08/1999,"1,88","1541,05","0,56",,"20,56%","39,05","0,24%","5,07%","89,8984","1.099,20"
9,1999,01/09/1999,"1,90","1545,83","0,31",,"19,42%","39,04","0,42%","5,22%","89,496","1.096,50"
10,1999,01/10/1999,"1,97","1564,23","1,19",,"17,88%","37,01","0,18%","5,20%","90,6725","1.103,30"
11,1999,01/11/1999,"1,93","1579,09","0,95",,"18,02%","37,96","0,18%","5,42%","91,1438","1.110,70"
12,1999,01/12/1999,"1,84","1588,56","0,6",,"20,98%","45,41","0,24%","5,30%","91,8444","1.122,20"
1,2000,01/01/2000,"1,80","1598,41","0,62",,"19,00%","45,75","0,30%","5,45%","91,7942","1.122,10"
2,2000,01/02/2000,"1,78","1600,49","0,13",,"18,86%","42,20","0,41%","5,73%","92,1272","1.108,60"
3,2000,01/03/2000,"1,74","1604,01","0,22",,"18,86%","40,91","0,59%","5,85%","92,4733","1.107,50"
4,2000,01/04/2000,"1,77","1610,75","0,42",,"16,77%","38,55","-0,06%","6,02%","93,0619","1.115,60"
5,2000,01/05/2000,"1,83","1610,91","0,01",,"19,42%","38,46","0,18%","6,27%","93,3427","1.104,90"
6,2000,01/06/2000,"1,81","1614,62","0,23",,"18,02%","37,92","0,58%","6,53%","93,3908","1.102,60"
7,2000,01/07/2000,"1,80","1640,62","1,61",,"16,90%","37,14","0,29%","6,54%","93,204","1.103,50"
8,2000,01/08/2000,"1,81","1662,11","1,31",,"18,30%","37,85","0,00%","6,50%","92,9637","1.100,20"
9,2000,01/09/2000,"1,84","1665,93","0,23",,"15,66%","38,06","0,52%","6,52%","93,3533","1.099,70"
10,2000,01/10/2000,"1,88","1668,26","0,14",,"16,63%","39,30","0,17%","6,51%","93,0019","1.098,70"
11,2000,01/11/2000,"1,95","1673,6","0,32",,"15,66%","40,01","0,17%","6,51%","93,0137","1.092,40"
12,2000,01/12/2000,"1,96","1683,47","0,59",,"15,39%","46,30","0,23%","6,40%","92,7388","1.088,60"
1,2001,01/01/2001,"1,95","1693,07","0,57",,"16,35%","46,46","0,57%","5,98%","92,2054","1.096,70"
2,2001,01/02/2001,"2,00","1700,86","0,46",,"12,95%","44,30","0,23%","5,49%","91,5813","1.101,20"
3,2001,01/03/2001,"2,09","1707,32","0,38",,"16,21%","43,31","0,06%","5,31%","91,3567","1.108,90"
4,2001,01/04/2001,"2,19","1717,22","0,58",,"15,25%","43,54","0,17%","4,80%","91,072","1.116,70"
5,2001,01/05/2001,"2,30","1724,26","0,41",,"17,32%","43,64","0,51%","4,21%","90,5335","1.118,50"
6,2001,01/06/2001,"2,38","1733,23","0,52",,"16,35%","43,94","0,23%","3,97%","90,0322","1.126,20"
7,2001,01/07/2001,"2,47","1756,28","1,33",,"19,56%","45,00","-0,17%","3,77%","89,4778","1.138,90"
8,2001,01/08/2001,"2,51","1768,57","0,7",,"20,98%","45,01","0,00%","3,65%","89,3838","1.150,20"
9,2001,01/09/2001,"2,67","1773,52","0,28",,"17,04%","45,13","0,39%","3,07%","88,9262","1.205,70"
